Categoria,Pregunta,Numero_pregunta,Puntaje_pregunta,Tipo
Ocupados,27A ¿Cuál fue la ganancia neta del negocio o de la cosecha durante los últimos doce meses?,27A,0.344,Positiva
Ocupados,28 Este trabajo es:,28,0,Neutro
Ocupados,28A ¿Cuál es la razón principal por la que trabaja en forma independiente en lugar de trabajar para un empleador o patrono ?,28A,0.08800000000000001,Positiva
Ocupados,"28R Si le ofrecieran un empleo como asalariado, en el cuál ganara lo mismo que obtiene actualmente pero con prestaciones, ¿aceptaría?",28R,0,Neutro
Ocupados,29. ¿Cuántos meses trabajó en los últimos 12 meses?,29,0,Neutro
Ocupados,30. ¿Cuántas horas a la semana trabaja normalmente.... en ese trabajo?,30,-0.25,Negativa
Ocupados,31. ¿Cuál es la razón por la que trabaja normalmente menos de 40 horas a la semana?,31,-0.25,Negativa
Ocupados,32. ¿Cuántas horas trabajó durante la semana pasada en este trabajo?,32,-0.25,Negativa
Ocupados,"33. ¿Por qué razón, de las horas que normalmente trabaja,  hubo algunas que no trabajó la semana pasada ?",33,0.0625,Positiva
Ocupados,"34. ¿Cuántas personas en total tiene la empresa, negocio, industria, oficina, firma, finca o sitio donde trabaja?",34,0,Neutro
Ocupados,35. Dónde realiza principalmente su trabajo:,35,0,Neutro
Ocupados,36. ¿En caso de enfermedad como cubriría los costos  médicos y los medicamentos?,36,-0.333,Negativa
Ocupados,37. ¿Está... cotizando actualmente a un fondo de pensiones?,37,-0.375,Negativa
Ocupados,38. ¿A cuál de los siguientes fondos cotiza actualmente:,38,0,Neutro
Ocupados,39.¿ Quién paga mensualmente por la afiliación al fondo de pensiones de?,39,0,Neutro
Ocupados,40. ¿Cuántos años lleva cotizando al fondo de pensiones?,40,0,Neutro
Ocupados,41. ¿Qué está haciendo Usted actualmente para mantenerse económicamente en su vejez?,41,0,Neutro
Ocupados,"42.¿Está afiliado por una empresa o individualmente a una Aseguradora de Riesgos Laborales (ARL) (por accidentes de trabajo, enfermedad profesional etc)? ",42,-0.04150000000000001,Negativa
Ocupados,42A ¿Esta afiliado a una caja de compensación familiar?,42A,0.25,Positiva
Ocupados,"43. Antes del actual trabajo, ¿ tuvo otro trabajo?",43,0,Neutro
Ocupados,44. ¿Cuántos meses estuvo sin empleo o trabajo ... entre el trabajo actual y el anterior?,44,0,Neutro
Ocupados,45. ¿Cuánto tiempo duró en su empleo anterior?,45,0,Neutro
Ocupados,46. ¿En su empleo anterior era:,46,0,Neutro
Ocupados,46A ¿Cuál fue la razón principal por la que   dejó su empleo anterior?,46A,0.389,Positiva
Ocupados,"47. Además de la ocupación principal,  ¿.... tenía la semana  pasada otro trabajo o negocio?",47,0.389,Positiva
Ocupados,47A ¿En qué municipio y departamento realiza   principalmente este trabajo?,47A,0,Neutro
Ocupados,48. ¿Cuántas horas trabajó ... la semana pasada en ese segundo trabajo?,48,-0.25,Negativa
Ocupados,49. En ese segundo trabajo ..es: ,49,0,Neutro
Ocupados,50. ¿Cuánto recibió o ganó  .. el mes pasado en ese segundo trabajo o negocio?,50,0,Neutro
Ocupados,"51. ¿Cuántas personas en total tiene la empresa, negocio o finca donde  ... trabaja?",51,0,Neutro
Ocupados,52. Dónde realiza principalmente su trabajo:,52,0,Neutro
Ocupados,53. Además de las horas que trabaja actualmente  ¿...... quiere  trabajar más horas?,53,-0.25,Negativa
Ocupados,54. ¿Cuántas horas adicionales puede trabajar....... a la semana?,54,-0.25,Negativa
Ocupados,"55. Durante las ÚLTIMAS 4 SEMANAS, ¿ ...... hizo diligencias para trabajar más horas?",55,-0.25,Negativa
Ocupados,56. Si la semana pasada le hubiera resultado la posibilidad de trabajar más horas   ¿ estaba...... disponible para hacerlo?,56,0.02099999999999999,Positiva
Ocupados,57. ¿......desea cambiar el trabajo que tiene actualmente?,57,0,Neutro
Ocupados,58. ¿Por que motivos ....... desea cambiar de trabajo o empleo:,58,0,Neutro
Ocupados,"59. Durante las ÚLTIMAS 4 SEMANAS,   ¿...... hizo diligencias para  cambiar de trabajo?",59,0,Neutro
Ocupados,60. Si le resultara un nuevo trabajo o empleo a...¿podría  empezar a desempeñarlo antes de un mes?,60,-0.375,Negativa
Ocupados,61. ¿Está ... satisfecho:,61,0.6,Positiva
Ocupados,62. ¿Está afiliado o hace parte de una asociación gremial o sindical?,62,0.25,Positiva
Ocupados,63. ¿Considera que su empleo o trabajo actual es estable?,63,0.25,Positiva
Ocupados,64. ¿Su horario de trabajo y sus responsabilidades familiares son compatibles?,64,0,Neutro
Ocupados,64A ¿Qué medio de transporte utiliza principalmente para desplazarse a su sitio de trabajo?,64A,0,Neutro
Ocupados,64B ¿Cuánto tiempo se demora regularmente ... en su desplazamiento hacia el trabajo?,64B,0,Neutro
Ocupados,"65. ¿En caso de no tener trabajo, de donde obtendría principalmente los recursos para sus gastos y/o los de su hogar",65,0.3125,Positiva
Seguridad,"01. ¿ está afiliado,  es cotizante o es beneficiario de alguna entidad de seguridad social en salud? (Empresa Promotora de Salud - EPS )",1,0.23625000000000002,Positiva
Seguridad,"02. ¿ Anteriormente estuvo afiliado,  fue cotizante o  beneficiario de alguna entidad de seguridad social en salud? (Empresa Promotora de Salud - EPS )",2,0.181,Positiva
Seguridad,03. ¿Cuántos meses hace que no está afiliado o no cotiza a la seguridad social en salud?,3,0.294,Positiva
Seguridad,04. ¿A cuál de los siguientes regímenes de seguridad social en salud está afiliado,4,0.09683333333333334,Positiva
Seguridad,05. ¿Quién paga mensualmente por la afiliación de?,5,0.09383333333333332,Positiva
Seguridad,06. ¿Cuánto paga o cuánto le descuentan mensualmente?,6,0.13114285714285714,Positiva
Seguridad,"07. ¿En los últimos doce meses dejó de asistir al médico o no se hospitalizó, por no tener con que pagar estos servicios en la EPS?",7,0.1928888888888889,Positiva
